date,company_code,is_copied,last_published,changes_24h,changes_7d,added_24h,removed_24h,added_7d,removed_7d,contributors_7d,contributors_all_time,changes_1y,added_1y,removed_1y,stars,copy,watchers,market_cap_rank,price_share_usd,market_cap_usd,parsed_language
1/23/2018,HDA,1,1392.0,0,0,0,0,0,0,0,1,0,5384,1752,1,0,2,12,770.157,6033785563.0,0
1/23/2018,SEO,1,96.0,0,2,0,0,10,0,1,6,32,892,152,19,17,20,9,13.3075,8271639652.0,1
1/23/2018,HET,0,72.0,0,0,0,0,0,0,0,14,0,64786,63973,41,29,25,2,988.519,96037840579.0,14
1/23/2018,CET,0,216.0,0,0,0,0,0,0,0,1,5,59121,36519,0,0,6,18,28.8557,2865894164.0,5
1/23/2018,XIC,0,4656.0,0,0,0,0,0,0,0,0,22,381,99,0,15,3,16,8.09904,3077999689.0,10
1/23/2018,AMI,0,264.0,0,0,0,0,0,0,0,0,108,23070,6447,73,48,18,11,2.41082,6700947197.0,7
1/23/2018,KLS,0,4632.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,21.7316,2548831301.0,8
1/23/2018,CLT,1,1704.0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,6,175.029,9605391664.0,7
1/23/2018,RXM,0,72.0,0,0,0,0,0,0,0,0,177,0,0,18,21,9,13,310.088,4848126954.0,14
1/23/2018,MXE,1,2832.0,0,0,0,0,0,0,0,0,0,412940,244494,1,0,12,7,0.97881,8809289999.0,12
1/23/2018,ONE,0,2.0,7,12,191,27,9901,209,7,0,255,0,0,125,164,33,10,119.579,7772635000.0,2
1/23/2018,GOM,1,1464.0,0,0,0,0,0,0,0,0,8,298980,116384,3,0,23,23,15.8505,1617425467.0,11
1/23/2018,TPP,0,552.0,0,0,0,0,0,0,0,1,3,0,0,1,0,10,24,42.0755,1556962934.0,14
1/23/2018,MQT,1,552.0,0,0,0,0,0,0,0,1,4,24853,9007,1,0,2,17,39.4991,2916123755.0,0
1/23/2018,BXR,0,2.0,2,14,3,3,2587,205,9,26,813,545588,368120,1466,261,215,21,14.6486,1951900889.0,1
1/23/2018,PXR,0,24.0,0,0,0,0,0,0,0,1,8,0,0,6,5,8,3,1.30668,50619663128.0,6
1/23/2018,CSC,1,7200.0,0,0,0,0,0,0,0,0,15,0,0,2,2,7,28,0.0388746,1220512624.0,5
1/23/2018,MXL,0,18816.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.469662,8391862511.0,14
1/23/2018,TST,1,312.0,0,0,0,0,0,0,0,0,0,3506,563,3,1,3,29,12.0908,1193500270.0,12
1/23/2018,XTR,0,3.0,0,18,0,0,39969,35902,5,20,295,74346,50250,884,188,264,14,0.0691658,4547526331.0,7
1/23/2018,NVE,1,552.0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,20,7.66217,2123667215.0,14
1/23/2018,GXV,1,792.0,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,26,0.0922371,1337762165.0,7
1/23/2018,CZE,0,8040.0,0,0,0,0,0,0,0,5,64,0,0,2,6,7,25,442.361,1378775648.0,10
1/24/2018,BBN,1,12.0,0,0,0,0,0,0,0,0,35,0,0,20,14,4,27,13.5261,1339273265.0,0
1/24/2018,CBT,0,3.0,0,2,0,0,1832,0,2,100,260,57758,18695,1900,1086,460,1,10884.6,183000000000.0,10
1/24/2018,HBC,0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1612.97,27305182807.0,14
1/24/2018,GBT,0,12.0,0,0,0,0,0,0,0,1,7,0,0,1,2,1,15,188.108,3156884623.0,14
1/24/2018,AAD,0,12.0,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.560238,14525330144.0,8
1/24/2018,HDA,1,1416.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,756.798,5930555105.0,0
1/24/2018,SEO,1,12.0,0,2,0,0,10,0,1,6,32,0,0,18,17,20,9,13.0941,8165474023.0,1
1/24/2018,HET,0,96.0,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,988.348,96040718737.0,14
1/24/2018,CET,0,240.0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,18,28.8252,2863524770.0,5
1/24/2018,XIC,0,4680.0,0,0,0,0,0,0,0,0,22,0,0,0,15,3,16,8.21175,3120834562.0,10
1/24/2018,AMI,0,12.0,0,0,0,0,0,0,0,0,108,23070,6447,72,48,18,11,2.50286,6956775164.0,7
1/24/2018,KLS,0,4656.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,21.9683,2577320517.0,8
1/24/2018,CLT,1,1728.0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,6,178.01,9771571135.0,7
1/24/2018,RXM,0,12.0,0,0,0,0,0,0,0,16,177,0,0,17,22,10,13,312.542,4887704278.0,14
1/24/2018,MXE,1,2856.0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,8,0.936196,8425763999.0,12
1/24/2018,ONE,0,12.0,0,12,0,0,9901,209,7,69,255,0,0,124,164,33,10,122.049,7933185000.0,2
1/24/2018,GOM,1,1488.0,0,0,0,0,0,0,0,100,8,0,0,3,0,23,23,16.0594,1638742156.0,11
1/24/2018,TPP,0,12.0,0,0,0,0,0,0,0,1,3,0,0,0,0,10,22,48.9085,1809811449.0,14
1/24/2018,MQT,1,12.0,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,17,39.7659,2935911148.0,0
1/24/2018,BXR,0,4.0,0,14,0,0,2587,205,9,26,810,545588,368120,1470,264,215,21,14.2182,1894550826.0,1
1/24/2018,PXR,0,12.0,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.35482,52484565463.0,6
1/24/2018,CSC,1,7224.0,0,0,0,0,0,0,0,98,15,0,0,2,2,7,29,0.0389449,1222719773.0,5
1/24/2018,MXL,0,18840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.516943,9236693136.0,14
1/24/2018,XTR,0,0.65,19,33,2361,24882,28057,50550,5,21,295,76071,62697,903,190,267,14,0.0687359,4519261183.0,7
1/24/2018,NVE,1,13.0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,20,8.21631,2277254117.0,14
1/24/2018,GXV,1,816.0,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,25,0.0967593,1403727558.0,7
1/24/2018,CZE,0,8064.0,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,441.561,1379284777.0,10
1/25/2018,BBN,1,48.0,0,0,0,0,0,0,0,0,35,0,0,20,14,4,28,14.1072,1396810301.0,0
1/25/2018,CBT,0,15.0,0,2,0,0,1832,0,2,100,260,57758,18695,1900,1088,459,1,11738.7,198000000000.0,10
1/25/2018,HBC,0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1706.89,28898202439.0,14
1/25/2018,GBT,0,48.0,0,0,0,0,0,0,0,1,7,0,0,1,2,1,16,194.777,3269175849.0,14
1/25/2018,AAD,0,24.0,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.666496,17280288805.0,8
1/25/2018,HDA,1,1440.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,813.219,6374277163.0,0
1/25/2018,SEO,1,24.0,0,2,0,0,10,0,1,6,32,0,0,18,17,20,9,14.7518,9228711035.0,1
1/25/2018,HET,0,120.0,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1104.66,107000000000.0,14
1/25/2018,CET,0,264.0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,19,30.3912,3019817212.0,5
1/25/2018,XIC,0,4704.0,0,0,0,0,0,0,0,0,22,0,0,0,15,3,17,8.30059,3154597760.0,10
1/25/2018,AMI,0,24.0,0,0,0,0,0,0,0,0,108,23070,6447,72,48,18,11,2.53408,7043552100.0,7
1/25/2018,KLS,0,4680.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,22.808,2676621983.0,8
1/25/2018,CLT,1,1752.0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,184.724,10142794571.0,7
1/25/2018,RXM,0,24.0,0,0,0,0,0,0,0,16,177,0,0,17,23,10,13,327.323,5120155490.0,14
1/25/2018,MXE,1,2880.0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,10,0.997065,8973584999.0,12
1/25/2018,ONE,0,1.0,3,14,86,81,9986,289,8,69,262,0,0,125,164,33,8,145.342,9447230000.0,2
1/25/2018,GOM,1,1512.0,0,0,0,0,0,0,0,100,8,0,0,3,0,23,21,19.1198,1951033181.0,11
1/25/2018,TPP,0,48.0,0,0,0,0,0,0,0,1,3,0,0,0,0,10,22,51.3817,1901329809.0,14
1/25/2018,MQT,1,24.0,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,18,41.6606,3075895251.0,0
1/25/2018,BXR,0,2.0,3,15,312,200,874,396,9,26,803,545900,368320,1479,266,215,23,14.0299,1869460173.0,1
1/25/2018,PXR,0,24.0,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.37225,53159788722.0,6
1/25/2018,MST,0,48.0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,24,6.65738,1649644868.0,14
1/25/2018,MXL,0,18864.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.579094,10347227868.0,14
1/25/2018,TST,1,360.0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,29,13.0949,1292649451.0,12
1/25/2018,XTR,0,1.0,3,34,2,2,27935,50525,6,22,315,76073,62699,919,195,270,14,0.07288,4791728268.0,7
1/25/2018,NVE,1,48.0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,15,7.80604,3555431166.0,14
1/25/2018,GXV,1,840.0,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,27,0.0976026,1416362361.0,7
1/25/2018,CZE,0,8088.0,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,469.083,1468631442.0,10
1/26/2018,BBN,1,13.0,0,0,0,0,0,0,0,0,35,0,0,22,14,5,29,13.524,1339065336.0,0
1/26/2018,CBT,0,5.0,0,2,0,0,1832,0,2,100,260,57758,18695,1907,1089,461,1,11588.9,195000000000.0,10
1/26/2018,HBC,0,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1669.71,28271675820.0,14
1/26/2018,GBT,0,72.0,0,0,0,0,0,0,0,1,7,0,0,1,2,1,15,191.259,3210494821.0,14
1/26/2018,NBC,0,5.0,0,0,0,0,0,0,0,4,9,829585,244288,361,4310,130,28,0.00735532,1351073841.0,1
1/26/2018,AAD,0,48.0,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.644374,16706730151.0,8
1/26/2018,HDA,1,1464.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,809.109,6343683131.0,0
1/26/2018,SEO,1,17.0,0,0,0,0,0,0,0,6,32,0,0,19,17,20,8,14.5886,9154724523.0,1
1/26/2018,HET,0,144.0,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1073.21,104000000000.0,14
1/26/2018,CET,0,288.0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,19,29.5263,2934597964.0,5
1/26/2018,XIC,0,4728.0,0,0,0,0,0,0,0,2,22,0,0,0,15,3,18,7.89847,3001774063.0,10
1/26/2018,AMI,0,48.0,0,0,0,0,0,0,0,11,106,23070,6447,72,48,18,11,2.42396,6737470225.0,7
1/26/2018,KLS,0,4704.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,23.9805,2815048641.0,8
1/26/2018,CLT,1,1776.0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,182.086,10000565194.0,7
1/26/2018,RXM,0,48.0,0,0,0,0,0,0,0,16,177,0,0,17,23,10,13,327.012,5116435313.0,14
1/26/2018,MXE,1,2904.0,0,0,0,0,0,0,0,100,0,0,0,1,0,12,10,0.954166,8587493999.0,12
1/26/2018,ONE,0,2.0,3,17,146,145,10132,434,10,70,264,0,0,126,166,34,9,140.064,9104160000.0,2
1/26/2018,GOM,1,1536.0,0,0,0,0,0,0,0,0,8,0,0,3,0,23,23,18.3299,1870429770.0,11
1/26/2018,TPP,0,72.0,0,0,0,0,0,0,0,1,3,0,0,0,0,11,22,52.2054,1931810026.0,14
1/26/2018,MQT,1,48.0,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,17,41.5026,3064329862.0,0
1/26/2018,BXR,0,3.0,1,15,1518,3,2391,398,9,26,803,547418,368323,1494,270,214,21,14.8335,1976538498.0,1
1/26/2018,PXR,0,48.0,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.31899,51096541976.0,6
1/26/2018,MST,0,72.0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,25,6.46075,1601244027.0,14
1/26/2018,MXL,0,18888.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.640773,11449328717.0,14
1/26/2018,XTR,0,5.0,0,34,0,0,27935,50525,6,22,318,76073,62699,934,194,275,14,0.0705637,4639435729.0,7
1/26/2018,NVE,1,72.0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,16,6.99165,3184499479.0,14
1/26/2018,GXV,1,864.0,0,0,0,0,0,0,0,20,0,711083,493014,1,0,2,27,0.093299,1354294957.0,7
1/26/2018,CZE,0,8112.0,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,488.494,1532897225.0,10
1/27/2018,BBN,1,48.0,0,0,0,0,0,0,0,0,35,0,0,22,14,5,29,13.0294,1290093012.0,0
1/27/2018,CBT,0,7.0,0,2,0,0,1832,0,2,100,259,57758,18695,1910,1092,461,1,11079.8,186000000000.0,10
1/27/2018,HBC,0,168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1588.92,26906493219.0,14
1/27/2018,GBT,0,96.0,0,0,0,0,0,0,0,1,7,0,0,1,2,1,16,179.094,3006627581.0,14
1/27/2018,NBC,0,7.0,0,0,0,0,0,0,0,4,0,829585,244288,363,4339,132,28,0.00716287,1315738832.0,1
1/27/2018,AAD,0,72.0,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.605602,15701485772.0,8
1/27/2018,HDA,1,1488.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,753.369,5908131493.0,0
1/27/2018,SEO,1,48.0,0,0,0,0,0,0,0,6,32,0,0,19,17,20,8,14.2238,8955721876.0,1
1/27/2018,HET,0,168.0,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1051.28,102000000000.0,14
1/27/2018,CET,0,312.0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,19,28.3932,2822657451.0,5
1/27/2018,XIC,0,4752.0,0,0,0,0,0,0,0,2,22,0,0,0,15,3,17,7.90505,3004274759.0,10
1/27/2018,AMI,0,72.0,0,0,0,0,0,0,0,0,106,23070,6447,72,49,18,11,2.38947,6641604225.0,7
1/27/2018,KLS,0,4728.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,21.2439,2494535386.0,8
1/27/2018,CLT,1,1800.0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,175.295,9630388816.0,7
1/27/2018,RXM,0,72.0,0,0,0,0,0,0,0,16,177,0,0,17,23,10,13,316.447,4952430351.0,14
1/27/2018,MXE,1,2928.0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,10,0.844142,7597277999.0,12
1/27/2018,ONE,0,6.0,2,18,267,36,2412,367,10,70,266,100531,29824,126,169,34,9,135.705,8820825000.0,2
1/27/2018,GOM,1,1560.0,0,0,0,0,0,0,0,100,7,0,0,3,0,23,23,16.3066,1663967075.0,11
1/27/2018,TPP,0,96.0,0,0,0,0,0,0,0,1,3,0,0,0,0,11,22,54.2085,2005932792.0,14
1/27/2018,MQT,1,72.0,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,18,38.8141,2865916857.0,0
1/27/2018,BXR,0,0.8333333333333334,5,20,194,13,2585,411,10,26,801,547606,368334,1508,270,218,21,17.4153,2320558931.0,1
1/27/2018,PXR,0,72.0,0,0,0,0,0,0,0,1,8,0,0,5,5,8,3,1.19924,46457529625.0,6
1/27/2018,MST,0,96.0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,25,5.9753,1478691240.0,14
1/27/2018,MXL,0,18912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.620768,11091907724.0,14
1/27/2018,TST,1,408.0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,27,13.6324,1345743377.0,12
1/27/2018,XTR,0,0.6666666666666666,0,28,0,0,2547,25016,6,22,318,76073,62699,941,197,279,14,0.065016,4274684482.0,7
1/27/2018,NVE,1,96.0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,15,7.29283,3321678479.0,14
1/27/2018,CZE,0,8136.0,0,0,0,0,0,0,0,5,64,0,0,2,6,7,26,453.186,1425380434.0,10
1/28/2018,CBT,0,5.0,0,2,0,0,1832,0,2,100,259,57758,18695,1913,1091,461,1,11556.1,194000000000.0,10
1/28/2018,HBC,0,192.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1654.36,28017703293.0,14
1/28/2018,GBT,0,120.0,0,0,0,0,0,0,0,1,7,0,0,1,2,1,16,190.732,3202328023.0,14
1/28/2018,NBC,0,9.0,0,0,0,0,0,0,0,4,0,829585,244288,364,4373,133,28,0.00732928,1346322590.0,1
1/28/2018,AAD,0,96.0,0,0,0,0,0,0,0,2,7,0,0,0,1,14,5,0.651992,16904242574.0,8
1/28/2018,HDA,1,1512.0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,770.047,6040459325.0,0
1/28/2018,SEO,1,72.0,0,0,0,0,0,0,0,6,32,0,0,19,17,20,8,14.777,9331964528.0,1
1/28/2018,HET,0,3.0,0,0,0,0,0,0,0,14,0,0,0,42,29,25,2,1130.79,110000000000.0,14
1/28/2018,CET,0,336.0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,18,30.5051,3033343377.0,5
1/28/2018,XIC,0,4776.0,0,0,0,0,0,0,0,2,22,0,0,0,15,3,17,8.14008,3093596736.0,10
1/28/2018,AMI,0,96.0,0,0,0,0,0,0,0,11,105,23070,6447,72,49,18,11,2.47867,6889538327.0,7
1/28/2018,KLS,0,4752.0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,20,23.4373,2752898758.0,8
1/28/2018,CLT,1,1824.0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,7,182.779,10044434087.0,7
1/28/2018,RXM,0,3.0,0,0,0,0,0,0,0,8,127,1062781,376273,19,9,13,13,325.666,5097885408.0,0
1/28/2018,MXE,1,2952.0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,9,1.03081,9277289999.0,12
1/28/2018,ONE,0,24.0,0,15,0,0,690,289,8,70,270,0,0,126,169,34,10,141.368,9188920000.0,2
1/28/2018,GOM,1,1584.0,0,0,0,0,0,0,0,100,7,0,0,3,0,23,24,16.0564,1638436028.0,11
1/28/2018,TPP,0,120.0,0,0,0,0,0,0,0,1,3,0,0,0,0,11,22,60.9145,2254081796.0,14
1/28/2018,MQT,1,96.0,0,0,0,0,0,0,0,1,4,24853,9007,0,0,2,19,40.7737,3010703913.0,0
1/28/2018,BXR,0,0.3,3,20,11,5,2179,386,9,26,801,547617,368339,1522,270,223,21,20.2573,2699250569.0,1
1/28/2018,PXR,0,96.0,0,0,0,0,0,0,0,1,8,1584,17,5,5,8,3,1.25731,48707111648.0,6
1/28/2018,CSC,1,7320.0,0,0,0,0,0,0,0,98,14,0,0,2,2,7,29,0.0426573,1339274826.0,5
1/28/2018,MST,0,120.0,0,0,0,0,0,0,0,1,1,64,0,0,1,3,25,6.19164,1532579780.0,14
1/28/2018,MXL,0,18936.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.628565,11231237438.0,14
1/28/2018,TST,1,432.0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,26,14.8004,1461063360.0,12
1/28/2018,XTR,0,0.23333333333333334,0,23,0,0,2366,24884,6,22,318,76073,62699,947,199,284,14,0.0684805,4502469095.0,7
